datID sessionID task diff block trial bigL smallL resp rt
1 48 0 0 0 0 0 0 0 0.54
2 48 0 0 0 1 1 0 0 0.444
3 48 0 0 0 2 0 1 1 0.641
4 48 0 0 0 3 1 1 1 0.64
5 48 0 1 0 0 1 0 1 1.308
6 48 0 1 0 1 1 1 1 0.444
7 48 0 1 0 2 0 1 0 0.517
8 48 0 1 0 3 0 0 0 0.366
9 48 0 2 0 0 1 0 1 0.665
10 48 0 2 0 1 1 1 0 0.717
11 48 0 2 0 2 0 0 0 0.615
12 48 0 2 0 3 0 1 0 0.524
13 48 1 0 0 0 1 1 1 1.211
14 48 1 0 0 1 1 0 0 0.573
15 48 1 0 0 2 0 0 0 0.618
16 48 1 0 0 3 0 1 1 0.558
17 48 1 1 0 0 1 0 0 1.272
18 48 1 1 0 1 1 1 1 0.508
19 48 1 1 0 2 0 1 1 0.812
20 48 1 1 0 3 0 0 0 0.46
21 48 1 2 0 0 0 1 1 0.73
22 48 1 2 0 1 1 0 0 1.519
23 48 1 2 0 2 1 1 1 0.555
24 48 1 2 0 3 0 0 0 0.69
25 49 0 0 0 0 0 0 0 0.504
26 49 0 0 0 1 0 0 0 0.395
27 49 0 0 0 2 1 0 1 0.43
28 49 0 0 0 3 0 1 1 0.431
29 49 0 0 0 4 0 0 0 0.531
30 49 0 0 0 5 1 1 1 0.527
31 49 0 0 0 6 0 0 0 0.525
32 49 0 0 0 7 0 1 0 0.711
33 49 0 0 1 8 1 1 1 0.728
34 49 0 0 1 9 0 1 0 0.571
35 49 0 0 1 10 0 0 0 0.401
36 49 0 0 1 11 0 1 1 0.447
37 49 0 0 1 12 1 0 0 0.562
38 49 0 0 1 13 0 1 0 0.624
39 49 0 0 1 14 1 0 1 0.669
40 49 0 0 1 15 1 1 0 0.558
41 49 0 0 2 16 1 1 1 0.572
42 49 0 0 2 17 1 1 1 0.476
43 49 0 0 2 18 1 0 0 0.51
44 49 0 0 2 19 1 0 1 0.754
45 49 0 1 0 0 0 1 0 1.639
46 49 0 1 0 1 1 1 1 0.508
47 49 0 1 0 2 0 1 1 0.492
48 49 0 1 0 3 0 1 0 0.624
49 49 0 1 0 4 0 0 0 0.541
50 49 0 1 0 5 0 0 0 0.493
51 49 0 1 0 6 0 0 0 0.478
52 49 0 1 0 7 1 0 1 0.608
53 49 0 1 1 8 0 1 0 0.78
54 49 0 1 1 9 1 1 1 0.46
55 49 0 1 1 10 1 1 1 0.492
56 49 0 1 1 11 1 0 0 0.556
57 49 0 1 1 12 0 0 0 0.64
58 49 0 1 1 13 1 0 1 0.749
59 49 0 1 1 14 1 1 1 0.574
60 49 0 1 1 15 1 0 1 0.668
61 49 0 1 2 16 0 0 0 0.586
62 49 0 1 2 17 1 0 1 0.607
63 49 0 1 2 18 1 1 1 0.462
64 49 0 1 2 19 0 1 0 0.56
65 49 0 2 0 0 0 0 0 2.252
66 49 0 2 0 1 0 0 0 1.549
67 49 0 2 0 2 1 1 1 0.688
68 49 0 2 0 3 1 0 1 0.765
69 49 0 2 0 4 0 1 0 0.67
70 49 0 2 0 5 1 1 1 0.607
71 49 0 2 0 6 0 1 0 0.684
72 49 0 2 0 7 1 1 1 0.654
73 49 0 2 1 8 1 1 1 0.505
74 49 0 2 1 9 1 0 1 0.714
75 49 0 2 1 10 1 0 1 0.606
76 49 0 2 1 11 0 1 0 0.651
77 49 0 2 1 12 1 0 1 0.702
78 49 0 2 1 13 0 0 0 0.576
79 49 0 2 1 14 1 0 1 0.75
80 49 0 2 1 15 0 0 0 1.149
81 49 0 2 2 16 1 1 1 0.668
82 49 0 2 2 17 0 1 0 0.527
83 49 0 2 2 18 0 1 0 0.524
84 49 0 2 2 19 0 0 1 0.605
85 49 1 0 0 0 1 1 1 1.401
86 49 1 0 0 1 0 1 1 0.475
87 49 1 0 0 2 1 1 1 0.56
88 49 1 0 0 3 1 0 0 0.542
89 49 1 0 0 4 0 1 0 0.511
90 49 1 0 0 5 0 0 0 0.611
91 49 1 0 0 6 1 1 1 0.432
92 49 1 0 0 7 1 0 0 0.543
93 49 1 0 1 8 0 1 1 0.586
94 49 1 0 1 9 1 0 0 0.607
95 49 1 0 1 10 1 1 1 0.541
96 49 1 0 1 11 1 0 0 0.589
97 49 1 0 1 12 1 0 0 0.684
98 49 1 0 1 13 0 0 0 0.497
99 49 1 0 1 14 1 1 1 0.509
100 49 1 0 1 15 0 0 1 0.477
101 49 1 0 2 16 0 0 0 0.683
102 49 1 0 2 17 0 1 1 0.413
103 49 1 0 2 18 0 1 1 0.476
104 49 1 0 2 19 0 0 0 0.765
105 49 1 1 0 0 1 0 0 0.956
106 49 1 1 0 1 1 1 1 0.636
107 49 1 1 0 2 0 1 1 0.656
108 49 1 1 0 3 1 0 0 0.427
109 49 1 1 0 4 1 1 0 0.461
110 49 1 1 0 5 0 1 1 0.785
111 49 1 1 0 6 0 0 0 0.416
112 49 1 1 0 7 0 0 1 0.991
113 49 1 1 1 8 0 1 1 0.843
114 49 1 1 1 9 0 0 0 0.795
115 49 1 1 1 10 1 0 0 0.574
116 49 1 1 1 11 0 1 1 0.637
117 49 1 1 1 12 1 1 1 0.721
118 49 1 1 1 13 0 0 0 0.523
119 49 1 1 1 14 0 1 0 0.562
120 49 1 1 1 15 1 0 0 0.8
121 49 1 1 2 16 1 1 1 0.665
122 49 1 1 2 17 1 0 0 0.845
123 49 1 1 2 18 1 1 1 0.493
124 49 1 1 2 19 0 0 0 0.623
125 49 1 2 0 0 0 1 1 1.02
126 49 1 2 0 1 1 1 1 0.747
127 49 1 2 0 2 0 0 0 0.733
128 49 1 2 0 3 0 1 1 0.91
129 49 1 2 0 4 1 0 0 0.957
130 49 1 2 0 5 1 0 0 0.701
131 49 1 2 0 6 0 0 1 0.638
132 49 1 2 0 7 0 0 0 0.596
133 49 1 2 1 8 0 1 1 0.426
134 49 1 2 1 9 1 1 1 0.686
135 49 1 2 1 10 1 0 0 0.479
136 49 1 2 1 11 0 1 1 0.717
137 49 1 2 1 12 1 1 1 0.591
138 49 1 2 1 13 1 0 0 0.461
139 49 1 2 1 14 1 1 0 0.56
140 49 1 2 1 15 1 0 0 0.465
141 49 1 2 2 16 0 0 0 0.619
142 49 1 2 2 17 1 1 1 0.399
143 49 1 2 2 18 0 0 0 0.461
144 49 1 2 2 19 0 1 1 0.429
145 50 0 0 0 0 0 0 0 1.562
146 50 0 0 0 1 1 0 1 1.069
147 50 0 0 0 2 1 1 1 0.675
148 50 0 0 0 3 1 0 1 0.796
149 50 0 0 0 4 1 1 1 0.699
150 50 0 0 0 5 0 1 0 0.86
151 50 0 0 0 6 0 0 0 0.669
152 50 0 0 0 7 1 1 1 0.808
153 50 0 0 1 8 0 0 0 0.76
154 50 0 0 1 9 1 1 1 0.622
155 50 0 0 1 10 1 0 0 0.863
156 50 0 0 1 11 1 1 1 1.84
157 50 0 0 1 12 0 0 0 0.605
158 50 0 0 1 13 1 0 1 0.986
159 50 0 0 1 14 0 1 0 0.849
160 50 0 0 1 15 0 0 0 0.817
161 50 0 0 2 16 0 1 0 0.633
162 50 0 0 2 17 0 1 0 0.528
163 50 0 0 2 18 0 1 0 0.591
164 50 0 0 2 19 1 0 0 0.604
165 50 0 1 0 0 1 0 1 1.033
166 50 0 1 0 1 0 0 0 0.751
167 50 0 1 0 2 0 1 0 0.846
168 50 0 1 0 3 0 0 0 0.701
169 50 0 1 0 4 0 0 0 0.673
170 50 0 1 0 5 1 1 1 0.732
171 50 0 1 0 6 1 0 1 0.91
172 50 0 1 0 7 0 0 0 0.765
173 50 0 1 1 8 1 1 1 0.684
174 50 0 1 1 9 1 1 1 0.543
175 50 0 1 1 10 1 0 1 0.695
176 50 0 1 1 11 1 0 1 0.67
177 50 0 1 1 12 0 0 0 0.592
178 50 0 1 1 13 0 1 0 0.713
179 50 0 1 1 14 1 0 1 0.7
180 50 0 1 1 15 0 1 1 0.829
181 50 0 1 2 16 1 1 1 0.861
182 50 0 1 2 17 1 1 1 0.556
183 50 0 1 2 18 0 1 0 0.673
184 50 0 1 2 19 0 1 0 0.584
185 50 0 2 0 0 1 1 1 1.083
186 50 0 2 0 1 1 1 1 0.592
187 50 0 2 0 2 1 0 1 0.859
188 50 0 2 0 3 0 0 0 1.215
189 50 0 2 0 4 1 1 1 0.736
190 50 0 2 0 5 0 0 0 0.682
191 50 0 2 0 6 1 0 1 0.853
192 50 0 2 0 7 0 1 0 0.754
193 50 0 2 1 8 0 1 0 0.859
194 50 0 2 1 9 0 0 1 0.956
195 50 0 2 1 10 0 1 0 0.864
196 50 0 2 1 11 0 0 0 0.83
197 50 0 2 1 12 0 0 0 0.894
198 50 0 2 1 13 1 0 1 1.148
199 50 0 2 1 14 1 0 1 0.863
200 50 0 2 1 15 1 0 1 0.653
201 50 0 2 2 16 0 1 0 0.827
202 50 0 2 2 17 0 1 0 0.75
203 50 0 2 2 18 1 1 1 0.813
204 50 0 2 2 19 1 1 1 0.653
205 50 1 0 0 0 1 1 1 1.304
206 50 1 0 0 1 1 0 0 0.65
207 50 1 0 0 2 1 0 0 0.543
208 50 1 0 0 3 1 1 1 0.523
209 50 1 0 0 4 0 0 0 0.554
210 50 1 0 0 5 1 1 1 0.599
211 50 1 0 0 6 0 0 0 0.495
212 50 1 0 0 7 1 0 0 0.62
213 50 1 0 1 8 0 1 1 0.635
214 50 1 0 1 9 0 1 1 0.527
215 50 1 0 1 10 1 0 0 0.587
216 50 1 0 1 11 1 1 1 0.634
217 50 1 0 1 12 0 0 0 0.479
218 50 1 0 1 13 1 0 0 0.684
219 50 1 0 1 14 0 0 0 0.606
220 50 1 0 1 15 0 1 1 0.556
221 50 1 0 2 16 0 1 1 0.757
222 50 1 0 2 17 1 1 1 0.651
223 50 1 0 2 18 0 0 0 0.641
224 50 1 0 2 19 0 1 1 0.669
225 50 1 1 0 0 1 1 1 0.857
226 50 1 1 0 1 0 1 1 0.945
227 50 1 1 0 2 0 0 0 0.734
228 50 1 1 0 3 0 0 0 0.495
229 50 1 1 0 4 1 1 1 0.668
230 50 1 1 0 5 1 0 0 0.606
231 50 1 1 0 6 1 1 1 0.603
232 50 1 1 0 7 0 0 0 0.559
233 50 1 1 1 8 0 1 0 0.533
234 50 1 1 1 9 1 0 1 1.075
235 50 1 1 1 10 1 0 0 1.088
236 50 1 1 1 11 0 1 1 0.653
237 50 1 1 1 12 0 1 1 0.561
238 50 1 1 1 13 0 0 0 0.523
239 50 1 1 1 14 0 0 0 0.796
240 50 1 1 1 15 1 0 0 0.505
241 50 1 1 2 16 1 0 0 0.508
242 50 1 1 2 17 1 1 1 0.458
243 50 1 1 2 18 0 1 1 0.54
244 50 1 1 2 19 1 1 1 0.634
245 50 1 2 0 0 0 1 1 1.723
246 50 1 2 0 1 0 0 0 0.892
247 50 1 2 0 2 1 1 1 0.797
248 50 1 2 0 3 1 0 0 0.519
249 50 1 2 0 4 1 1 1 0.622
250 50 1 2 0 5 0 1 1 0.641
251 50 1 2 0 6 0 0 0 0.604
252 50 1 2 0 7 1 0 0 0.634
253 50 1 2 1 8 0 1 1 0.97
254 50 1 2 1 9 1 1 1 0.497
255 50 1 2 1 10 1 0 0 0.492
256 50 1 2 1 11 0 1 1 0.651
257 50 1 2 1 12 0 0 0 0.462
258 50 1 2 1 13 1 1 1 0.525
259 50 1 2 1 14 0 1 1 0.699
260 50 1 2 1 15 1 0 0 0.581
261 50 1 2 2 16 1 0 0 0.615
262 50 1 2 2 17 1 1 1 0.509
263 50 1 2 2 18 0 0 0 0.522
264 50 1 2 2 19 0 0 0 0.611
265 53 0 0 0 0 1 1 1 1.259
266 53 0 0 0 1 1 0 1 1.005
267 53 0 0 0 2 1 1 1 0.812
268 53 0 0 0 3 0 1 0 0.67
269 53 0 0 0 4 0 1 0 0.608
270 53 0 0 0 5 1 1 1 0.667
271 53 0 0 0 6 0 0 0 0.608
272 53 0 0 0 7 1 1 1 0.781
273 53 0 0 0 8 0 1 0 0.59
274 53 0 0 0 9 0 0 0 0.701
275 53 0 0 0 10 1 0 0 0.518
276 53 0 0 0 11 1 0 1 1.108
277 53 0 0 0 12 0 0 0 0.732
278 53 0 0 0 13 0 1 0 0.688
279 53 0 0 0 14 1 1 1 0.699
280 53 0 0 0 15 1 0 0 0.767
281 53 0 0 0 16 0 0 0 0.947
282 53 0 0 0 17 0 0 0 0.623
283 53 0 0 0 18 1 0 1 0.923
284 53 0 0 0 19 0 1 0 1.005
285 53 0 1 0 0 0 1 0 1.736
286 53 0 1 0 1 1 1 1 0.844
287 53 0 1 0 2 0 0 0 0.714
288 53 0 1 0 3 0 0 0 0.655
289 53 0 1 0 4 1 1 1 0.699
290 53 0 1 0 5 0 0 0 0.765
291 53 0 1 0 6 1 1 1 0.781
292 53 0 1 0 7 1 0 1 0.863
293 53 0 1 0 8 0 1 0 0.83
294 53 0 1 0 9 0 1 0 0.652
295 53 0 1 0 10 1 0 1 1.648
296 53 0 1 0 11 1 0 1 0.816
297 53 0 1 0 12 0 0 0 0.719
298 53 0 1 0 13 1 1 1 0.784
299 53 0 1 0 14 1 1 1 0.623
300 53 0 1 0 15 0 0 0 0.699
301 53 0 1 0 16 1 0 1 0.654
302 53 0 1 0 17 0 1 0 0.923
303 53 0 1 0 18 1 0 1 1.275
304 53 0 1 0 19 0 1 0 0.716
305 53 0 2 0 0 1 0 1 1.483
306 53 0 2 0 1 0 0 1 1.432
307 53 0 2 0 2 1 1 1 1.09
308 53 0 2 0 3 0 0 0 0.811
309 53 0 2 0 4 1 0 1 2.786
310 53 0 2 0 5 1 0 1 0.927
311 53 0 2 0 6 0 1 0 0.924
312 53 0 2 0 7 0 1 1 1.275
313 53 0 2 0 8 0 0 0 0.961
314 53 0 2 0 9 1 0 1 1.341
315 53 0 2 0 10 1 1 1 1.005
316 53 0 2 0 11 1 0 0 1.677
317 53 0 2 0 12 0 1 0 1.251
318 53 0 2 0 13 1 1 1 0.97
319 53 0 2 0 14 1 1 1 1.067
320 53 0 2 0 15 0 1 0 0.799
321 53 0 2 0 16 0 1 0 1.502
322 53 0 2 0 17 0 0 0 1.435
323 53 0 2 0 18 1 1 1 0.971
324 53 0 2 0 19 0 0 0 1.26
325 53 1 0 0 0 0 1 1 0.761
326 53 1 0 0 1 1 0 0 0.735
327 53 1 0 0 2 0 1 1 0.528
328 53 1 0 0 3 1 1 1 0.799
329 53 1 0 0 4 1 0 0 0.463
330 53 1 0 0 5 1 0 0 0.525
331 53 1 0 0 6 1 1 1 0.493
332 53 1 0 0 7 0 0 0 0.542
333 53 1 0 0 8 0 0 0 0.526
334 53 1 0 0 9 0 0 0 0.527
335 53 1 0 0 10 0 1 1 0.462
336 53 1 0 0 11 1 1 1 0.48
337 53 1 0 0 12 1 0 0 0.411
338 53 1 0 0 13 0 1 1 0.543
339 53 1 0 0 14 0 0 0 0.428
340 53 1 0 0 15 1 1 1 0.427
341 53 1 0 0 16 0 0 0 0.54
342 53 1 0 0 17 1 1 1 0.29
343 53 1 0 0 18 0 1 0 0.475
344 53 1 0 0 19 1 0 0 0.76
345 53 1 1 0 0 1 0 0 1.254
346 53 1 1 0 1 1 1 1 0.747
347 53 1 1 0 2 0 1 0 1.292
348 53 1 1 0 3 1 1 1 0.897
349 53 1 1 0 4 0 1 1 0.686
350 53 1 1 0 5 1 0 0 0.671
351 53 1 1 0 6 1 0 0 0.588
352 53 1 1 0 7 1 1 1 0.481
353 53 1 1 0 8 0 0 0 0.91
354 53 1 1 0 9 0 1 1 0.524
355 53 1 1 0 10 1 1 1 1.084
356 53 1 1 0 11 1 0 0 0.607
357 53 1 1 0 12 0 0 0 0.492
358 53 1 1 0 13 0 0 0 0.362
359 53 1 1 0 14 1 0 0 0.67
360 53 1 1 0 15 0 1 1 0.474
361 53 1 1 0 16 0 1 1 0.499
362 53 1 1 0 17 0 0 0 0.462
363 53 1 1 0 18 1 1 1 0.574
364 53 1 1 0 19 0 0 0 0.748
365 53 1 2 0 0 0 1 1 0.907
366 53 1 2 0 1 0 0 0 0.686
367 53 1 2 0 2 0 0 0 0.447
368 53 1 2 0 3 1 0 0 0.443
369 53 1 2 0 4 1 0 0 0.494
370 53 1 2 0 5 0 1 1 0.444
371 53 1 2 0 6 1 0 0 0.524
372 53 1 2 0 7 1 1 1 0.524
373 53 1 2 0 8 1 1 1 0.572
374 53 1 2 0 9 0 0 0 0.524
375 53 1 2 0 10 0 0 0 0.547
376 53 1 2 0 11 0 1 1 0.476
377 53 1 2 0 12 1 1 1 0.493
378 53 1 2 0 13 0 0 0 0.524
379 53 1 2 0 14 1 0 0 3.917
380 53 1 2 0 15 1 1 1 1.839
381 53 1 2 0 16 1 0 0 0.508
382 53 1 2 0 17 0 1 1 0.717
383 53 1 2 0 18 1 1 1 0.463
384 53 1 2 0 19 0 1 1 0.43
385 54 0 0 0 0 0 1 0 1.941
386 54 0 0 0 1 1 0 0 5.579
387 54 0 0 0 2 1 0 1 3.154
388 54 0 0 0 3 1 1 1 1.428
389 54 0 0 0 4 1 1 1 1.438
390 54 0 0 0 5 1 0 1 0.875
391 54 0 0 0 6 1 1 1 0.892
392 54 0 0 0 7 0 1 0 1.356
393 54 0 0 0 8 0 0 0 1.037
394 54 0 0 0 9 0 0 0 0.84
395 54 0 0 0 10 0 0 0 0.781
396 54 0 0 0 11 0 1 0 0.734
397 54 0 0 0 12 0 0 0 0.767
398 54 0 0 0 13 0 0 0 0.685
399 54 0 0 0 14 1 0 0 0.766
400 54 0 0 0 15 1 0 1 1.698
401 54 0 0 0 16 1 1 1 0.935
402 54 0 0 0 17 0 1 0 0.688
403 54 0 0 0 18 1 1 1 1.227
404 54 0 0 0 19 0 1 0 0.718
405 54 0 1 0 0 1 0 0 6.028
406 54 0 1 0 1 0 0 0 2.117
407 54 0 1 0 2 1 1 1 1.25
408 54 0 1 0 3 0 1 0 1.841
409 54 0 1 0 4 1 0 1 1.566
410 54 0 1 0 5 1 1 1 0.575
411 54 0 1 0 6 1 1 1 0.522
412 54 0 1 0 7 1 1 1 0.507
413 54 0 1 0 8 0 0 0 0.779
414 54 0 1 0 9 0 1 0 0.635
415 54 0 1 0 10 0 1 0 0.607
416 54 0 1 0 11 0 1 0 0.732
417 54 0 1 0 12 0 0 0 0.558
418 54 0 1 0 13 0 1 0 0.602
419 54 0 1 0 14 0 0 0 0.623
420 54 0 1 0 15 0 0 0 0.809
421 54 0 1 0 16 1 1 1 1.131
422 54 0 1 0 17 1 0 0 1.07
423 54 0 1 0 18 1 0 1 1.807
424 54 0 1 0 19 1 0 0 1.694
425 54 0 2 0 0 0 0 0 1.177
426 54 0 2 0 1 1 1 1 1.132
427 54 0 2 0 2 1 1 1 0.862
428 54 0 2 0 3 1 1 1 0.797
429 54 0 2 0 4 0 1 0 1.325
430 54 0 2 0 5 1 0 1 1.55
431 54 0 2 0 6 1 1 1 1.696
432 54 0 2 0 7 0 1 0 1.426
433 54 0 2 0 8 1 1 1 1.437
434 54 0 2 0 9 0 1 0 1.098
435 54 0 2 0 10 0 1 0 1.965
436 54 0 2 0 11 0 0 0 0.736
437 54 0 2 0 12 1 0 1 1.023
438 54 0 2 0 13 0 0 0 0.825
439 54 0 2 0 14 0 0 0 0.651
440 54 0 2 0 15 0 1 0 1.167
441 54 0 2 0 16 1 0 1 1.239
442 54 0 2 0 17 0 0 0 0.762
443 54 0 2 0 18 1 0 0 1.42
444 54 0 2 0 19 1 0 1 0.495
445 54 1 0 0 0 0 1 1 3.26
446 54 1 0 0 1 1 0 1 1.036
447 54 1 0 0 2 1 1 1 1.716
448 54 1 0 0 3 0 1 1 1.322
449 54 1 0 0 4 0 0 0 1.901
450 54 1 0 0 5 0 0 0 0.475
451 54 1 0 0 6 0 1 1 0.54
452 54 1 0 0 7 1 1 1 1.69
453 54 1 0 0 8 0 1 1 0.714
454 54 1 0 0 9 0 0 0 0.7
455 54 1 0 0 10 1 1 1 0.751
456 54 1 0 0 11 0 1 1 0.557
457 54 1 0 0 12 1 0 0 0.634
458 54 1 0 0 13 1 0 0 0.366
459 54 1 0 0 14 1 0 0 0.462
460 54 1 0 0 15 1 0 0 0.411
461 54 1 0 0 16 0 0 0 0.413
462 54 1 0 0 17 0 0 0 0.381
463 54 1 0 0 18 1 1 1 0.702
464 54 1 0 0 19 1 1 1 0.446
465 54 1 1 0 0 1 0 0 1.382
466 54 1 1 0 1 1 1 1 0.656
467 54 1 1 0 2 0 1 1 0.604
468 54 1 1 0 3 0 1 1 0.386
469 54 1 1 0 4 0 0 0 0.446
470 54 1 1 0 5 1 0 0 0.896
471 54 1 1 0 6 0 1 1 0.923
472 54 1 1 0 7 0 0 0 0.522
473 54 1 1 0 8 1 1 1 0.609
474 54 1 1 0 9 1 1 1 0.587
475 54 1 1 0 10 0 0 0 0.559
476 54 1 1 0 11 0 0 0 0.363
477 54 1 1 0 12 0 1 0 0.269
478 54 1 1 0 13 0 0 0 0.561
479 54 1 1 0 14 1 0 0 0.557
480 54 1 1 0 15 1 0 0 0.491
481 54 1 1 0 16 1 1 1 0.526
482 54 1 1 0 17 0 1 1 0.396
483 54 1 1 0 18 1 1 1 0.35
484 54 1 1 0 19 1 0 0 0.495
485 54 1 2 0 0 1 0 0 2.553
486 54 1 2 0 1 1 1 1 0.941
487 54 1 2 0 2 0 1 0 0.54
488 54 1 2 0 3 1 1 1 0.464
489 54 1 2 0 4 0 1 1 0.557
490 54 1 2 0 5 1 1 1 0.412
491 54 1 2 0 6 0 1 1 0.59
492 54 1 2 0 7 1 1 1 0.444
493 54 1 2 0 8 0 0 0 0.446
494 54 1 2 0 9 0 0 0 0.377
495 54 1 2 0 10 1 0 0 0.38
496 54 1 2 0 11 0 0 0 0.364
497 54 1 2 0 12 1 0 0 0.27
498 54 1 2 0 13 1 1 1 0.511
499 54 1 2 0 14 0 0 0 0.574
500 54 1 2 0 15 1 0 0 0.396
501 54 1 2 0 16 0 0 0 0.334
502 54 1 2 0 17 0 1 0 0.383
503 54 1 2 0 18 1 0 0 0.595
504 54 1 2 0 19 0 1 1 0.523
505 60 0 0 0 0 1 0 1 1.206
506 60 0 0 0 1 1 1 1 0.762
507 60 0 0 0 2 1 1 1 0.749
508 60 0 0 0 3 0 1 0 0.799
509 60 0 0 0 4 1 1 1 1.375
510 60 0 0 0 5 0 1 0 0.893
511 60 0 0 0 6 1 1 1 0.829
512 60 0 0 0 7 0 0 0 0.801
513 60 0 0 0 8 1 1 1 0.767
514 60 0 0 0 9 1 0 0 0.944
515 60 0 0 0 10 0 1 0 1.163
516 60 0 0 0 11 0 0 0 0.686
517 60 0 0 0 12 0 1 0 0.768
518 60 0 0 0 13 1 0 1 0.751
519 60 0 0 0 14 0 0 0 0.848
520 60 0 0 0 15 0 0 0 0.766
521 60 0 0 0 16 0 0 0 0.655
522 60 0 0 0 17 0 1 0 0.977
523 60 0 0 0 18 1 0 1 0.779
524 60 0 0 0 19 1 0 1 0.863
525 60 1 0 0 0 1 0 1 1.862
526 60 1 0 0 1 1 0 0 1.372
527 60 1 0 0 2 0 0 0 0.668
528 60 1 0 0 3 0 0 0 0.622
529 60 1 0 0 4 1 0 0 1.498
530 60 1 0 0 5 0 1 1 1.103
531 60 1 0 0 6 0 0 0 1.084
532 60 1 0 0 7 1 1 1 0.688
533 60 1 0 0 8 0 1 1 0.913
534 60 1 0 0 9 0 1 1 0.606
535 60 1 0 0 10 1 0 0 1.163
536 60 1 0 0 11 0 1 1 0.78
537 60 1 0 0 12 1 1 1 1.325
538 60 1 0 0 13 0 0 0 0.636
539 60 1 0 0 14 1 1 1 0.72
540 60 1 0 0 15 1 1 1 0.816
541 60 1 0 0 16 0 1 1 0.75
542 60 1 0 0 17 0 0 0 0.767
543 60 1 0 0 18 1 1 1 0.832
544 60 1 0 0 19 1 0 0 0.814
545 60 0 1 0 0 1 1 1 1.447
546 61 0 2 0 0 1 0 1 2.827
547 60 0 1 0 1 0 1 0 1.375
548 61 0 2 0 1 0 0 0 1.753
549 61 0 2 0 2 1 0 1 1.019
550 60 0 1 0 2 0 0 0 2.123
551 61 0 2 0 3 1 0 1 1.098
552 60 0 1 0 3 1 0 1 0.974
553 61 0 2 0 4 1 1 1 1.421
554 60 0 1 0 4 1 0 1 0.829
555 60 0 1 0 5 0 0 0 0.653
556 61 0 2 0 5 1 0 1 1.163
557 60 0 1 0 6 0 0 0 0.848
558 61 0 2 0 6 1 1 1 1.758
559 60 0 1 0 7 0 1 0 0.863
560 60 0 1 0 8 0 1 0 0.829
561 61 0 2 0 7 0 1 0 1.341
562 60 0 1 0 9 0 0 0 0.937
563 61 0 2 0 8 1 0 1 1.84
564 60 0 1 0 10 1 1 1 0.683
565 61 0 2 0 9 1 1 1 0.972
566 60 0 1 0 11 1 0 1 0.799
567 61 0 2 0 10 0 0 0 0.842
568 60 0 1 0 12 1 0 1 0.735
569 60 0 1 0 13 1 0 1 0.719
570 61 0 2 0 11 0 1 0 1.051
571 60 0 1 0 14 1 1 1 0.704
572 61 0 2 0 12 0 1 0 0.831
573 60 0 1 0 15 0 0 0 1.083
574 61 0 2 0 13 1 1 1 0.749
575 60 0 1 0 16 0 1 0 0.799
576 61 0 2 0 14 1 1 0 0.749
577 60 0 1 0 17 0 1 0 0.816
578 61 0 2 0 15 0 0 0 0.765
579 60 0 1 0 18 1 1 1 0.943
580 61 0 2 0 16 0 1 0 0.973
581 60 0 1 0 19 1 1 1 0.781
582 61 0 2 0 17 0 0 0 0.842
583 61 0 2 0 18 0 1 0 1.723
584 61 0 2 0 19 0 0 0 1.005
585 61 1 1 0 0 0 1 1 1.867
586 61 1 1 0 1 1 0 0 1.082
587 61 1 1 0 2 1 1 1 0.83
588 60 0 2 0 0 0 0 1 4.501
589 61 1 1 0 3 1 1 1 0.844
590 60 0 2 0 1 1 1 1 1.256
591 61 1 1 0 4 1 0 0 0.796
592 60 0 2 0 2 0 0 0 0.86
593 61 1 1 0 5 0 0 0 0.941
594 60 0 2 0 3 1 0 1 1.357
595 61 1 1 0 6 1 0 0 0.745
596 61 1 1 0 7 0 1 1 0.606
597 60 0 2 0 4 0 1 0 1.741
598 61 1 1 0 8 0 0 0 0.49
599 61 1 1 0 9 0 0 0 0.477
600 60 0 2 0 5 1 1 1 1.26
601 61 1 1 0 10 0 0 0 0.446
602 61 1 1 0 11 0 1 1 0.494
603 61 1 1 0 12 0 1 1 0.413
604 61 1 1 0 13 1 0 0 0.753
605 60 0 2 0 6 0 1 1 2.525
606 61 1 1 0 14 0 1 1 0.566
607 61 1 1 0 15 0 0 0 0.628
608 60 0 2 0 7 0 0 0 1.155
609 61 1 1 0 16 1 1 1 0.51
610 61 1 1 0 17 1 0 0 0.43
