datID sessionID block trial word prop resp rt
1 58 0 0 0 1 1 1.373
2 58 0 1 2 0 1 2.025
3 58 0 2 1 1 1 1.918
4 58 0 3 2 0 1 1.661
5 58 0 4 1 1 1 2.242
6 58 0 5 1 0 0 1.566
7 58 0 6 1 1 1 0.992
8 58 0 7 3 1 0 2.236
9 58 0 8 2 0 0 1.562
10 58 0 9 1 0 1 1.677
11 58 0 10 3 0 1 1.085
12 58 0 11 3 0 1 0.792
13 58 0 12 3 0 0 3.946
14 58 0 13 3 1 1 0.896
15 58 0 14 2 1 0 2.767
16 58 0 15 3 0 1 0.907
17 58 1 16 2 0 1 1.133
18 58 1 17 2 0 1 1.143
19 58 1 18 2 0 0 1.102
20 58 1 19 3 0 0 0.978
21 58 1 20 1 0 1 1.453
22 58 1 21 2 1 0 1.241
23 58 1 22 3 0 0 2.285
24 58 1 23 1 0 1 1.229
25 58 1 24 2 1 0 1.888
26 58 1 25 3 0 1 1.133
27 58 1 26 3 0 1 1.55
28 58 1 27 1 1 1 1.176
29 58 1 28 1 1 1 0.926
30 58 1 29 1 1 1 1.098
31 58 1 30 2 0 1 2.096
32 58 1 31 0 0 1 1.057
33 58 2 32 0 1 1 0.928
34 58 2 33 2 0 1 2.796
35 58 2 34 2 1 0 1.978
36 58 2 35 0 1 1 2.604
37 58 2 36 0 1 1 1.405
38 58 2 37 0 1 0 0.95
39 58 2 38 3 1 1 1.968
40 58 2 39 0 1 1 0.987
41 58 2 40 1 0 0 1.672
42 58 2 41 0 1 0 0.813
43 58 2 42 1 0 0 0.957
44 58 2 43 0 0 1 0.957
45 58 2 44 3 1 0 3.355
46 58 2 45 2 1 0 0.846
47 58 2 46 1 0 0 1.849
48 58 2 47 1 1 1 0.69
49 58 3 48 3 1 1 0.796
50 58 3 49 0 1 0 0.879
51 58 3 50 1 0 0 1.15
52 58 3 51 3 1 1 1.271
53 58 3 52 0 0 1 1.963
54 58 3 53 2 1 0 1.76
55 58 3 54 2 1 0 1.694
56 58 3 55 3 1 1 1.295
57 58 3 56 3 1 1 1.998
58 58 3 57 0 0 1 1.362
59 58 3 58 2 1 1 3.549
60 58 3 59 0 0 1 1.133
61 58 3 60 0 0 1 1.105
62 58 3 61 0 0 1 2.515
63 58 3 62 0 0 1 0.71
64 58 3 63 1 1 1 0.989
65 59 0 0 1 0 0 1.369
66 59 0 1 2 0 1 1.97
67 59 0 2 2 1 1 0.908
68 59 0 3 3 0 1 2.378
69 59 0 4 3 1 0 1.07
70 59 0 5 2 0 1 1.034
71 59 0 6 3 1 1 1.584
72 59 0 7 2 1 1 1.587
73 59 0 8 3 0 1 0.841
74 63 0 0 2 1 0 1.581
75 63 0 1 0 1 0 3.457
76 63 0 2 1 1 1 0.866
77 63 0 3 1 1 1 0.879
78 63 0 4 2 0 1 1.758
79 63 0 5 0 1 0 1.488
80 63 0 6 3 0 1 1.566
81 63 0 7 3 1 1 2.391
82 63 0 8 3 1 1 1.263
83 63 0 9 3 0 0 2.735
84 63 0 10 2 0 1 1.375
85 63 0 11 2 1 0 1.089
86 63 0 12 2 1 0 0.931
87 63 0 13 2 1 1 2.067
88 63 0 14 3 0 0 3.736
89 63 0 15 1 0 0 2.563
90 63 1 16 2 1 1 3.024
91 63 1 17 0 0 1 5.181
92 63 1 18 0 1 0 1.044
93 63 1 19 1 0 0 1.977
94 63 1 20 1 0 1 1.218
