datID sessionID block trial background target forePeriod resp rt
1 374 0 0 1 7 32 1 0.234
2 374 0 1 0 6 32 1 0.064
3 374 0 2 1 1 31 0 0.213
4 374 0 3 1 6 33 0 0.325
5 374 0 4 0 2 31 0 0.137
6 374 0 5 0 6 31 1 0.111
7 374 0 6 1 0 32 0 0.103
8 374 0 7 1 3 31 0 0.085
9 374 0 8 0 0 32 0 0.326
10 374 0 9 0 6 36 1 0.1
11 374 1 0 1 0 32 0 0.085
12 374 1 1 0 3 31 0 0.074
13 374 1 2 1 6 32 1 0.21
14 374 1 3 0 5 38 1 0.173
15 374 1 4 0 3 31 0 0.422
16 374 1 5 1 0 35 0 0.086
17 374 1 6 1 7 31 1 0.123
18 374 1 7 0 7 31 1 0.139
19 374 1 8 0 1 31 0 0.175
20 374 1 9 0 0 34 0 0.083
21 374 2 0 0 5 31 0 0.152
22 374 2 1 0 2 31 0 0.121
23 374 2 2 0 4 34 0 0.082
24 374 2 3 1 1 37 0 0.412
25 374 2 4 0 7 34 1 0.094
26 374 2 5 1 3 31 0 0.163
27 374 2 6 1 0 31 0 0.103
28 374 2 7 0 5 35 1 0.1
29 374 2 8 1 3 32 0 0.163
30 374 2 9 1 5 31 1 0.148
31 374 3 0 1 2 31 1 0.354
32 374 3 1 0 5 32 1 0.262
33 374 3 2 0 3 31 0 0.186
34 374 3 3 0 6 31 1 0.275
35 374 3 4 1 4 32 0 0.037
36 374 3 5 1 0 31 0 0.138
37 374 3 6 0 5 31 1 0.207
38 374 3 7 0 2 33 0 0.594
39 374 3 8 0 3 31 0 0.088
40 374 3 9 0 3 31 0 0.335
41 374 4 0 1 0 35 0 0.109
42 374 4 1 1 0 32 0 0.067
43 374 4 2 1 1 32 0 0.104
44 374 4 3 1 0 31 0 0.103
45 374 4 4 0 2 37 0 0.206
46 374 4 5 0 3 33 0 0.208
47 374 4 6 0 3 31 0 0.081
48 374 4 7 1 1 31 0 0.118
49 374 4 8 0 7 33 1 0.116
50 374 4 9 1 7 31 1 0.295
51 374 5 0 0 6 32 1 0.194
52 374 5 1 0 0 32 0 0.309
53 374 5 2 0 2 37 0 0.111
54 374 5 3 1 7 31 1 0.431
55 374 5 4 1 1 36 0 0.083
56 374 5 5 0 0 33 0 0.113
57 374 5 6 1 4 32 0 0.093
58 374 5 7 0 0 32 0 0.324
59 374 5 8 1 4 33 1 0.133
60 374 5 9 0 4 32 0 0.294
61 374 6 0 1 6 31 1 0.235
62 374 6 1 0 0 31 0 0.23
63 374 6 2 1 2 38 0 0.093
64 374 6 3 1 4 32 0 0.146
65 374 6 4 1 3 31 0 0.254
66 374 6 5 1 4 31 1 0.405
67 374 6 6 0 6 31 1 0.323
68 374 6 7 1 6 35 1 0.223
69 374 6 8 1 5 31 1 0.137
70 374 6 9 1 3 31 0 0.086
71 374 7 0 1 5 33 1 0.297
72 374 7 1 1 1 32 0 0.06
73 374 7 2 0 5 35 1 0.217
74 374 7 3 0 0 33 0 0.156
75 374 7 4 1 1 32 0 0.229
76 374 7 5 1 5 32 1 0.067
77 374 7 6 0 7 33 1 0.239
78 374 7 7 0 4 32 1 0.217
79 374 7 8 1 6 33 1 0.156
80 374 7 9 0 4 35 1 0.124
