datID sessionID block trial length correctResp resp rt
1 448 0 0 99.999 3 2 4.821
2 448 0 1 99.999 3 3 3.437
3 448 0 2 99.999 5 6 3.421
4 448 0 3 99.999 1 1 1.66
5 448 0 4 99.999 2 2 1.309
6 448 0 5 99.999 5 4 1.95
7 448 0 6 99.999 1 1 1.438
8 448 0 7 99.999 7 8 2.942
9 448 0 8 99.999 6 6 1.805
10 448 0 9 99.999 4 4 3.311
11 448 0 10 99.999 5 5 1.293
12 448 0 11 99.999 1 1 1.217
13 448 0 12 99.999 3 3 1.178
14 448 0 13 99.999 4 4 1.456
15 448 0 14 99.999 6 7 2.419
16 448 0 15 99.999 2 2 1.375
17 448 0 16 99.999 6 6 1.79
18 448 0 17 99.999 4 4 1.359
19 448 0 18 99.999 7 9 2.334
20 448 0 19 99.999 5 5 1.902
21 448 0 20 99.999 2 2 1.774
22 448 0 21 99.999 1 1 1.072
23 448 0 22 99.999 7 7 2.301
24 448 0 23 99.999 6 6 1.106
25 448 0 24 99.999 4 3 1.374
26 448 0 25 99.999 4 5 1.581
27 448 0 26 99.999 4 4 0.734
28 448 0 27 99.999 7 7 1.695
29 448 0 28 99.999 4 4 1.279
30 448 0 29 99.999 3 3 0.994
31 448 0 30 99.999 7 8 1.695
32 448 0 31 99.999 1 1 1.359
33 448 0 32 99.999 5 4 2.927
34 448 0 33 99.999 4 3 1.482
35 448 0 34 99.999 3 3 2.718
36 448 0 35 99.999 2 2 1.231
37 448 0 36 99.999 5 5 1.363
38 448 0 37 99.999 5 6 1.247
39 448 0 38 99.999 3 3 1.376
40 448 0 39 99.999 5 5 1.23
41 448 0 40 99.999 2 2 1.215
42 448 0 41 99.999 6 5 1.359
43 448 0 42 99.999 3 4 1.31
44 448 0 43 99.999 3 3 1.2
45 448 0 44 99.999 2 2 0.911
46 448 0 45 99.999 3 3 0.989
47 448 0 46 99.999 7 7 1.423
48 448 0 47 99.999 7 7 1.811
49 448 0 48 99.999 5 5 1.246
50 448 0 49 99.999 5 5 1.406
51 448 0 50 99.999 6 6 1.133
52 448 0 51 99.999 2 2 1.075
53 448 0 52 99.999 5 4 2.027
54 448 0 53 99.999 5 5 1.213
55 448 0 54 99.999 2 2 0.942
56 448 0 55 99.999 7 7 1.694
57 448 0 56 99.999 6 6 1.171
58 448 0 57 99.999 4 4 2.735
59 448 0 58 99.999 5 5 1.31
60 448 0 59 99.999 7 7 2.062
61 448 0 60 99.999 6 6 1.839
62 448 0 61 99.999 6 5 1.053
63 448 0 62 99.999 5 5 1.486
64 448 0 63 99.999 1 1 1.059
65 448 0 64 99.999 4 3 1.23
66 448 0 65 99.999 1 1 1.122
67 448 0 66 99.999 3 3 1.07
68 448 0 67 99.999 2 2 1.005
69 448 0 68 99.999 4 4 1.102
70 448 0 69 99.999 4 4 1.204
71 448 1 0 99.999 4 5 1.163
72 448 1 1 99.999 1 1 1.117
73 448 1 2 99.999 2 2 0.624
74 448 1 3 99.999 6 6 2.445
75 448 1 4 99.999 7 7 1.699
76 448 1 5 99.999 1 1 1.022
77 448 1 6 99.999 7 7 1.137
78 448 1 7 99.999 2 1 1.123
79 448 1 8 99.999 4 4 1.182
80 448 1 9 99.999 4 4 0.959
81 448 1 10 99.999 2 2 0.958
82 448 1 11 99.999 1 1 1.027
83 448 1 12 99.999 1 1 0.863
84 448 1 13 99.999 7 7 1.135
85 448 1 14 99.999 1 1 1.039
86 448 1 15 99.999 5 4 1.181
87 448 1 16 99.999 1 1 1.027
88 448 1 17 99.999 7 7 1.103
89 448 1 18 99.999 2 2 0.99
90 448 1 19 99.999 6 6 1.614
91 448 1 20 99.999 6 6 1.826
92 448 1 21 99.999 7 7 1.246
93 448 1 22 99.999 5 5 1.166
94 448 1 23 99.999 4 4 1.549
95 448 1 24 99.999 1 1 0.959
96 448 1 25 99.999 3 3 1.774
97 448 1 26 99.999 1 1 0.878
98 448 1 27 99.999 3 3 1.135
99 448 1 28 99.999 5 5 1.261
100 448 1 29 99.999 7 7 1.182
101 448 1 30 99.999 6 6 1.454
102 448 1 31 99.999 6 6 1.166
103 448 1 32 99.999 5 5 1.054
104 448 1 33 99.999 7 7 1.117
105 448 1 34 99.999 2 2 1.518
106 448 1 35 99.999 4 4 1.214
107 448 1 36 99.999 3 3 1.935
108 448 1 37 99.999 3 3 1.07
109 448 1 38 99.999 3 3 0.959
110 448 1 39 99.999 7 7 1.284
111 448 1 40 99.999 1 1 1.011
112 448 1 41 99.999 3 3 1.005
113 448 1 42 99.999 4 4 1.027
114 448 1 43 99.999 7 7 1.101
115 448 1 44 99.999 7 7 1.102
116 448 1 45 99.999 2 2 1.071
117 448 1 46 99.999 7 7 1.15
118 448 1 47 99.999 2 2 0.973
119 448 1 48 99.999 6 5 1.343
120 448 1 49 99.999 5 6 2.078
121 449 0 0 99.999 3 3 1.444
122 449 0 1 99.999 5 5 3.225
123 449 0 2 99.999 2 2 1.468
124 449 0 3 99.999 1 1 0.817
125 449 0 4 99.999 6 6 2.764
126 449 0 5 99.999 1 1 1.182
127 449 0 6 99.999 6 6 4.723
128 449 0 7 99.999 5 4 2.284
129 449 0 8 99.999 5 5 1.226
130 449 0 9 99.999 3 3 1.59
131 449 0 10 99.999 7 7 1.212
132 449 0 11 99.999 5 5 1.771
133 449 0 12 99.999 2 1 2.012
134 449 0 13 99.999 6 6 1.868
135 449 0 14 99.999 4 4 2.955
136 449 0 15 99.999 5 5 1.025
137 449 0 16 99.999 6 6 1.309
138 449 0 17 99.999 3 3 1.31
139 449 0 18 99.999 6 6 3.135
140 449 0 19 99.999 7 7 0.7
141 449 0 20 99.999 5 5 0.958
142 449 0 21 99.999 5 5 1.054
143 449 0 22 99.999 3 3 1.274
144 449 0 23 99.999 4 4 1.053
145 449 0 24 99.999 1 1 1.137
146 449 0 25 99.999 6 6 1.821
147 449 0 26 99.999 6 6 0.686
148 449 0 27 99.999 4 4 1.421
149 449 0 28 99.999 2 2 1.277
150 449 0 29 99.999 1 1 0.734
151 449 0 30 99.999 3 3 1.021
