datID sessionID block trial stimGlobA stimGLobB weightA correctResp resp rt
1 435 0 0 23 41 0 4 1 3.337
2 435 0 1 23 41 1 7 6 3.662
3 435 0 2 23 41 1 8 7 1.614
4 435 0 3 23 41 1 6 6 1.291
5 435 0 4 23 41 0 4 6 0.609
6 435 0 5 23 41 1 6 5 4.914
7 435 0 6 23 41 0 2 1 2.903
8 435 0 7 23 41 0 2 2 0.914
9 435 0 8 23 41 1 6 5 5.176
10 435 0 9 23 41 1 5 5 2.448
11 435 0 10 23 41 1 5 5 0.735
12 435 0 11 23 41 0 1 1 5.675
13 435 0 12 23 41 1 6 7 3.674
14 435 0 13 23 41 0 3 4 4.842
15 435 0 14 23 41 1 8 8 2.21
16 435 0 15 23 41 1 6 6 4.004
17 435 0 16 23 41 0 1 2 2.608
18 435 0 17 23 41 1 7 7 8.72
19 435 0 18 23 41 0 1 1 2.421
20 435 0 19 23 41 0 1 1 0.73
21 435 0 20 23 41 1 8 8 1.67
22 435 0 21 23 41 1 6 6 3.746
23 435 0 22 23 41 0 1 1 2.784
24 435 0 23 23 41 0 2 2 2.223
25 435 0 24 23 41 0 1 3 3.652
26 435 0 25 23 41 1 7 7 3.661
27 435 0 26 23 41 0 3 3 3.682
28 435 0 27 23 41 0 3 3 0.577
29 435 0 28 23 41 1 6 5 9.069
30 435 0 29 23 41 1 7 6 3.369
31 435 0 30 23 41 1 7 7 0.974
32 435 0 31 23 41 0 1 1 1.458
33 435 0 32 23 41 0 3 3 1.5
34 435 0 33 23 41 1 8 8 4.924
35 435 0 34 23 41 0 4 3 6.661
36 435 0 35 23 41 0 3 3 0.923
37 435 0 36 23 41 1 6 5 1.456
38 435 0 37 23 41 1 7 6 1.172
39 435 0 38 23 41 0 1 1 1.638
40 435 0 39 23 41 1 8 8 3.868
41 435 0 40 23 41 0 3 3 1.898
42 435 0 41 23 41 1 6 5 3.085
43 435 0 42 23 41 0 2 2 1.467
44 435 0 43 23 41 1 5 4 7.118
45 435 0 44 23 41 1 7 6 1.788
46 435 0 45 23 41 0 4 3 1.557
47 435 0 46 23 41 0 1 2 1.422
48 435 0 47 23 41 0 3 3 1.571
49 435 0 48 23 41 1 8 8 2.303
50 435 0 49 23 41 1 5 6 2.225
51 435 0 50 23 41 0 2 3 2.337
52 435 0 51 23 41 0 1 2 2.203
53 435 0 52 23 41 1 6 6 4.704
54 435 0 53 23 41 0 1 1 1.715
55 435 0 54 23 41 1 6 6 4.971
56 435 0 55 23 41 0 4 4 4.315
57 435 0 56 23 41 1 7 7 2.676
58 435 0 57 23 41 0 2 2 2.773
59 435 0 58 23 41 1 5 5 5.044
60 435 0 59 23 41 0 4 4 1.201
61 435 0 60 23 41 1 5 4 1.024
62 435 0 61 23 41 0 4 4 5.385
63 435 0 62 23 41 0 2 2 1.598
64 435 0 63 23 41 0 4 4 3.421
65 435 0 64 23 41 0 4 4 1.449
66 435 0 65 23 41 0 3 3 3.079
67 435 0 66 23 41 1 7 7 2.21
68 435 0 67 23 41 0 2 2 3.49
69 435 0 68 23 41 0 1 1 2.909
70 435 0 69 23 41 1 5 5 2.118
71 435 0 70 23 41 1 6 6 1.526
72 435 0 71 23 41 0 1 1 4.261
73 435 0 72 23 41 1 5 5 5.783
74 435 0 73 23 41 1 8 8 2.217
75 435 0 74 23 41 1 6 6 2.256
76 435 0 75 23 41 0 1 1 2.568
77 435 0 76 23 41 0 4 4 2.487
78 435 0 77 23 41 0 2 2 1.436
79 435 0 78 23 41 1 5 5 1.837
80 435 0 79 23 41 1 7 6 1.877
81 435 1 0 23 41 0 3 3 3.658
82 435 1 1 23 41 1 5 5 2.764
83 435 1 2 23 41 0 4 4 1.149
84 435 1 3 23 41 1 6 6 2.122
85 435 1 4 23 41 0 2 1 1.331
86 435 1 5 23 41 0 2 2 2.182
87 435 1 6 23 41 1 6 7 1.817
88 435 1 7 23 41 1 8 7 1.566
89 435 1 8 23 41 1 8 8 1.352
90 435 1 9 23 41 1 7 8 0.622
91 435 1 10 23 41 1 5 6 1.531
92 435 1 11 23 41 0 1 1 3.408
93 435 1 12 23 41 0 2 2 2.358
94 435 1 13 23 41 1 8 8 1.749
95 435 1 14 23 41 1 8 7 1.376
96 435 1 15 23 41 1 5 8 1.084
97 435 1 16 23 41 1 6 6 1.734
98 435 1 17 23 41 0 2 2 1.991
99 435 1 18 23 41 0 2 2 0.832
100 435 1 19 23 41 1 7 6 2.753
101 435 1 20 23 41 0 4 4 2.866
102 435 1 21 23 41 1 7 6 2.927
103 435 1 22 23 41 1 7 6 5.028
104 435 1 23 23 41 0 4 4 1.838
105 435 1 24 23 41 1 6 5 2.108
106 435 1 25 23 41 0 2 2 1.48
107 435 1 26 23 41 0 4 4 2.551
108 435 1 27 23 41 1 5 2 1.836
109 435 1 28 23 41 0 1 1 1.634
110 435 1 29 23 41 0 1 1 1.77
111 435 1 30 23 41 0 3 3 1.65
112 435 1 31 23 41 0 4 4 1.941
113 435 1 32 23 41 1 6 6 2.457
114 435 1 33 23 41 0 4 4 1.771
115 435 1 34 23 41 0 4 4 1.737
116 435 1 35 23 41 0 4 4 0.91
117 435 1 36 23 41 1 5 5 1.272
118 435 1 37 23 41 0 1 1 1.649
119 435 1 38 23 41 1 8 8 2.145
120 435 1 39 23 41 1 5 6 4.521
121 435 1 40 23 41 0 1 1 1.796
122 435 1 41 23 41 0 3 3 1.225
123 435 1 42 23 41 1 7 7 3.092
124 435 1 43 23 41 0 4 4 1.995
125 435 1 44 23 41 1 8 7 3.617
126 435 1 45 23 41 1 5 5 3.515
127 435 1 46 23 41 0 3 3 1.454
128 435 1 47 23 41 0 3 3 1.114
129 435 1 48 23 41 1 6 6 2.638
130 435 1 49 23 41 1 8 7 1.263
131 435 1 50 23 41 0 3 3 1.523
132 435 1 51 23 41 0 4 4 1.457
133 435 1 52 23 41 0 3 3 1.182
134 435 1 53 23 41 1 6 6 2.777
135 435 1 54 23 41 0 4 3 1.828
136 435 1 55 23 41 0 1 2 3.387
137 435 1 56 23 41 0 1 1 1.928
138 435 1 57 23 41 0 4 2 2.268
139 435 1 58 23 41 1 7 6 2.255
140 435 1 59 23 41 1 8 8 2.156
141 435 1 60 23 41 1 6 8 2.758
142 435 1 61 23 41 1 5 6 3.037
143 435 1 62 23 41 1 5 4 3.014
144 435 1 63 23 41 1 8 8 3.296
145 435 1 64 23 41 1 7 8 0.792
146 435 1 65 23 41 1 7 7 1.169
147 435 1 66 23 41 0 3 3 1.976
148 435 1 67 23 41 1 8 6 11.754
149 435 1 68 23 41 1 5 4 2.252
150 435 1 69 23 41 1 6 6 1.707
151 435 1 70 23 41 0 3 3 1.51
152 435 1 71 23 41 0 4 4 0.669
153 435 1 72 23 41 0 4 4 0.774
154 435 1 73 23 41 1 8 7 3.663
155 435 1 74 23 41 1 8 8 2.462
156 435 1 75 23 41 1 5 6 2.829
157 435 1 76 23 41 1 5 5 1.651
158 435 1 77 23 41 0 2 1 3.334
159 435 1 78 23 41 0 4 4 2.909
160 435 1 79 23 41 0 2 3 1.928
161 435 2 0 23 41 1 7 8 1.54
162 435 2 1 23 41 1 5 6 6.377
163 435 2 2 23 41 1 7 6 2.924
164 435 2 3 23 41 1 7 7 1.279
165 435 2 4 23 41 1 5 5 3.806
166 435 2 5 23 41 1 8 8 2.988
167 435 2 6 23 41 1 8 8 4.469
168 435 2 7 23 41 0 4 4 1.748
169 435 2 8 23 41 0 3 3 1.12
170 435 2 9 23 41 1 8 8 1.764
171 435 2 10 23 41 0 2 1 4.155
172 435 2 11 23 41 1 7 8 5.661
173 435 2 12 23 41 0 3 3 1.795
174 435 2 13 23 41 0 3 3 0.638
175 435 2 14 23 41 1 7 8 1.683
176 435 2 15 23 41 0 4 4 1.967
