datID sessionID block trial stimGlobA stimGLobB weightA correctResp resp rt
1 443 0 0 23 41 1 2 3 5.244
2 443 0 1 23 41 1 4 3 1.244
3 443 0 2 23 41 1 4 3 0.808
4 443 0 3 23 41 1 6 6 1.683
5 443 0 4 23 41 1 2 1 3.452
6 443 0 5 23 41 1 7 7 2.485
7 443 0 6 23 41 1 4 4 3.234
8 443 0 7 23 41 1 6 6 2.3
9 443 0 8 23 41 1 2 1 2.264
10 443 0 9 23 41 1 6 6 2.825
11 443 0 10 23 41 2 8 7 1.332
12 443 0 11 23 41 1 4 5 3.253
13 443 0 12 23 41 1 1 1 1.172
14 443 0 13 23 41 1 1 1 0.439
15 443 0 14 23 41 1 6 6 3.522
16 443 0 15 23 41 1 6 5 0.795
17 443 0 16 23 41 1 7 7 1.216
18 443 0 17 23 41 1 3 3 3.234
19 443 0 18 23 41 1 4 3 1.324
20 443 0 19 23 41 2 8 7 2.968
21 443 0 20 23 41 1 5 6 2.314
22 443 0 21 23 41 1 3 4 7.387
23 443 0 22 23 41 1 1 2 1.377
24 443 0 23 23 41 2 8 8 5.296
25 443 0 24 23 41 1 2 2 2.468
26 443 0 25 23 41 1 7 6 3.062
27 443 0 26 23 41 1 7 7 0.493
28 443 0 27 23 41 1 5 5 1.697
29 443 0 28 23 41 1 4 4 0.932
30 443 0 29 23 41 1 3 3 0.708
31 443 0 30 23 41 1 1 2 0.512
32 443 0 31 23 41 1 2 1 0.735
33 443 0 32 23 41 1 7 7 5.423
34 443 0 33 23 41 1 1 3 2.844
35 443 0 34 23 41 1 2 1 0.829
36 443 0 35 23 41 1 7 6 1.927
37 443 0 36 23 41 1 3 4 1.849
38 443 0 37 23 41 2 8 7 5.957
39 443 0 38 23 41 2 8 8 0.514
40 443 0 39 23 41 1 7 7 4.388
41 443 0 40 23 41 1 5 5 1.563
42 443 0 41 23 41 1 3 4 1.651
43 443 0 42 23 41 1 3 3 3.02
44 443 0 43 23 41 1 1 1 2.618
45 443 0 44 23 41 1 1 1 0.697
46 443 0 45 23 41 1 7 6 2.821
47 443 0 46 23 41 1 7 7 0.453
48 443 0 47 23 41 1 6 6 0.806
49 443 0 48 23 41 1 2 3 3.017
50 443 0 49 23 41 1 7 6 1.75
51 443 0 50 23 41 1 6 6 0.821
52 443 0 51 23 41 1 7 7 0.555
53 443 0 52 23 41 1 1 2 3.42
54 443 0 53 23 41 1 6 5 2.933
55 443 0 54 23 41 1 1 1 0.911
56 443 0 55 23 41 1 4 4 2.594
57 443 0 56 23 41 2 8 8 3.235
58 443 0 57 23 41 1 6 7 6.232
59 443 0 58 23 41 1 1 3 3.475
60 443 0 59 23 41 1 6 7 3.491
61 443 0 60 23 41 1 5 5 1.078
62 443 0 61 23 41 1 5 5 0.659
63 443 0 62 23 41 1 2 3 2.781
64 443 0 63 23 41 1 1 1 0.686
65 443 0 64 23 41 1 6 5 2.489
66 443 0 65 23 41 1 1 2 13.198
67 443 0 66 23 41 1 1 1 0.594
68 443 0 67 23 41 1 4 4 5.554
