datID sessionID block trial correctResp resp rt
1 438 0 0 3 2 2.367
2 438 0 1 6 6 1.473
3 438 0 2 4 3 2.147
4 438 0 3 6 6 4.408
5 438 0 4 7 8 1.599
6 438 0 5 3 2 1.63
7 438 0 6 7 8 3.355
8 438 0 7 6 6 4.339
9 438 0 8 7 7 0.967
10 438 0 9 2 2 2.536
11 438 0 10 1 1 0.905
12 438 0 11 4 3 3.772
13 438 0 12 3 3 0.735
14 438 0 13 1 1 0.936
15 438 0 14 6 5 10.555
16 438 0 15 1 1 0.865
17 438 0 16 4 4 2.294
18 438 0 17 6 6 1.224
19 438 0 18 2 2 1.751
20 438 0 19 2 2 0.568
21 438 0 20 7 7 2.889
22 438 0 21 7 8 0.812
23 438 0 22 5 5 2.178
24 438 0 23 1 1 1.304
25 438 0 24 4 5 2.145
26 438 0 25 6 7 1.374
27 438 0 26 5 4 1.307
28 438 0 27 3 3 2.565
29 438 0 28 7 8 4.582
30 438 0 29 1 1 1.327
31 438 0 30 3 2 7.217
32 438 0 31 6 7 2.004
33 438 0 32 6 6 0.875
34 438 0 33 3 3 3.029
35 438 0 34 5 6 1.623
36 438 0 35 3 2 2.062
37 438 0 36 5 5 1.5
38 438 0 37 1 1 0.904
39 438 0 38 7 8 4.586
40 438 0 39 2 2 1.81
41 438 0 40 3 3 1.535
42 438 0 41 2 2 0.922
43 438 0 42 5 5 1.292
44 438 0 43 7 7 1.632
45 438 0 44 4 3 2.454
46 438 0 45 1 1 0.792
47 438 0 46 3 3 1.359
48 438 0 47 8 8 2.416
49 438 0 48 1 1 1.223
50 438 0 49 8 8 0.509
51 438 0 50 7 7 2.095
52 438 0 51 5 5 1.202
53 438 0 52 4 4 1.428
54 438 0 53 2 2 4.927
55 438 0 54 5 4 1.928
56 438 0 55 1 1 0.714
57 438 0 56 2 3 1.321
58 438 0 57 5 5 4.076
59 438 0 58 2 2 2.304
60 438 0 59 1 1 0.378
61 438 0 60 8 8 3.011
62 438 0 61 6 7 2.349
63 438 0 62 5 4 1.224
64 438 0 63 6 6 7.833
65 438 0 64 6 6 0.434
66 438 0 65 6 6 0.349
67 438 0 66 1 1 0.79
68 438 0 67 4 4 8.637
69 438 0 68 2 2 1.785
70 438 0 69 6 6 2.105
71 438 0 70 2 2 1.243
72 438 0 71 5 5 1.969
73 438 0 72 7 7 2.169
74 438 0 73 4 4 4.122
75 438 0 74 1 1 0.668
76 438 0 75 8 8 1.512
77 438 0 76 2 2 2.817
78 438 0 77 6 7 2.442
79 438 0 78 1 1 0.748
80 438 0 79 6 7 1.91
81 438 1 0 1 1 0.878
82 438 1 1 7 6 3.534
83 438 1 2 3 3 2.833
84 438 1 3 6 6 3.906
85 438 1 4 6 6 0.481
86 438 1 5 7 7 0.806
87 438 1 6 5 5 1.911
88 438 1 7 4 4 0.838
89 438 1 8 6 6 3.419
90 438 1 9 1 1 0.746
91 438 1 10 1 1 0.482
92 438 1 11 5 5 1.798
93 438 1 12 4 4 0.982
94 438 1 13 7 7 1.697
95 438 1 14 6 6 0.695
96 438 1 15 3 3 2.805
97 438 1 16 7 7 2.076
98 438 1 17 4 3 1.551
99 438 1 18 4 4 1.645
100 438 1 19 8 8 1.519
101 438 1 20 1 1 0.701
102 438 1 21 8 8 0.787
103 438 1 22 1 1 0.528
104 438 1 23 4 4 2.131
105 438 1 24 4 4 0.452
106 438 1 25 5 5 1.168
107 438 1 26 2 2 4.815
108 438 1 27 6 6 2.199
109 438 1 28 1 1 0.645
110 438 1 29 4 4 4.656
111 438 1 30 7 7 3.26
112 438 1 31 5 5 3.875
113 438 1 32 6 6 0.753
114 438 1 33 3 3 2.074
115 438 1 34 3 3 0.829
116 438 1 35 3 3 0.468
117 438 1 36 8 8 2.088
118 438 1 37 6 5 3.355
119 438 1 38 1 1 0.735
120 438 1 39 3 3 1.719
121 438 1 40 2 2 0.699
122 438 1 41 4 3 1.783
123 438 1 42 2 2 0.743
124 438 1 43 6 6 3.328
125 438 1 44 5 5 0.681
126 438 1 45 1 1 0.647
127 438 1 46 2 2 1.05
128 438 1 47 2 2 0.711
129 438 1 48 5 5 2.929
130 438 1 49 1 1 0.547
131 438 1 50 2 2 4.228
132 438 1 51 8 8 1.907
133 438 1 52 6 6 1.486
134 438 1 53 6 5 0.537
135 438 1 54 4 3 1.034
136 438 1 55 8 8 2.621
137 438 1 56 3 3 2.978
138 438 1 57 8 8 2.232
139 438 1 58 1 1 0.661
140 438 1 59 6 7 2.21
141 438 1 60 1 1 1.22
142 438 1 61 6 6 2.478
143 438 1 62 4 4 3.569
144 438 1 63 4 4 0.665
145 438 1 64 6 5 8.268
146 438 1 65 4 4 0.794
147 438 1 66 8 8 1.531
148 438 1 67 8 8 0.617
149 438 1 68 4 4 3.593
150 438 1 69 8 8 1.547
151 438 1 70 4 4 2.185
152 438 1 71 5 5 1.271
153 438 1 72 7 8 1.292
154 438 1 73 3 3 1.712
155 438 1 74 4 4 0.588
156 438 1 75 7 7 2.556
157 438 1 76 3 3 7.479
158 438 1 77 1 1 0.568
159 438 1 78 8 8 13.24
160 438 1 79 2 2 1.486
161 438 2 0 8 8 1.502
162 438 2 1 4 4 1.37
163 438 2 2 5 5 1
164 438 2 3 5 5 0.585
165 438 2 4 3 3 1.273
166 438 2 5 3 3 0.509
167 438 2 6 8 7 2.506
168 438 2 7 1 2 1.375
169 438 2 8 3 3 2.07
170 438 2 9 4 4 1.124
171 438 2 10 7 7 1.632
172 438 2 11 2 2 1.287
173 438 2 12 3 3 2.996
174 438 2 13 8 8 1.241
175 438 2 14 8 8 0.606
176 438 2 15 4 4 2.365
177 438 2 16 7 7 2.1
178 438 2 17 4 4 2.152
179 438 2 18 7 7 1.258
180 438 2 19 7 7 2.201
181 438 2 20 1 1 0.733
182 438 2 21 7 7 0.775
183 438 2 22 4 4 3.534
184 438 2 23 3 3 2.184
185 438 2 24 6 7 2.224
186 438 2 25 2 2 1.217
187 438 2 26 4 4 3.843
188 438 2 27 5 6 1.653
189 438 2 28 4 4 1.477
190 438 2 29 3 3 0.913
191 438 2 30 5 5 5.955
192 438 2 31 4 3 0.892
193 438 2 32 7 7 1.544
194 438 2 33 3 3 2.356
195 438 2 34 6 6 2.331
196 438 2 35 2 2 1.095
197 438 2 36 7 7 1.521
198 438 2 37 6 6 1.243
